Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0.000279645314	0.025	1877097.62	1877097.62	1877097.62	1877097.62	0	0	0	0	1.97494e+06	0	0	3
2	0	0.00054667319	0.05	1924755.52	1900376.59	1877097.62	1924755.52	23278.9699	0	0	0	1.94319e+06	0	0	3
3	0	0.000805695405	0.075	1941345.46	1913547.63	1877097.62	1941345.46	36450.0109	0	0	0	1.96319e+06	0	0	3
4	0	0.00105736604	0.1	1916003.28	1914132.11	1877097.62	1941345.46	37034.4966	0	0	0	1.92583e+06	0	0	3
5	0	0.00132395021	0.125	1913182.81	1913940.97	1877097.62	1941345.46	37034.4966	0	0	0	1.90355e+06	0	0	3
6	0	0.00191705449	0.15	1913404.25	1913774.92	1877097.62	1941345.46	37034.4966	0	0	0	1.89835e+06	0	0	3
7	0	0.00293097299	0.175	1916675.82	1914778.43	1877097.62	1941345.46	37680.817	0	0	0	1.89783e+06	0	0	3
8	0	0.00384184351	0.2	1920104.24	1916041.14	1877097.62	1941345.46	38943.5243	0	0	0	1.89695e+06	0	0	3
9	0	0.00457049208	0.225	1922703.13	1917103.23	1877097.62	1941345.46	40005.6082	0	0	0	1.89554e+06	0	0	3
10	0	0.00519619828	0.25	1924896.07	1918041.61	1877097.62	1941345.46	40943.992	0	0	0	1.89336e+06	0	0	3
11	0	0.00602898841	0.275	1929178.15	1919579.91	1877097.62	1941345.46	42482.2931	0	0	0	1.88824e+06	0	0	3
12	1	0.00675594734	0.3	1932580.48	1920978.81	1877097.62	1941345.46	43881.1905	0	0	0	1.90568e+06	0	0	3
13	1	0.00741343304	0.325	1935355.98	1922253.9	1877097.62	1941345.46	45156.2792	0	0	0	1.94232e+06	0	0	3
14	1	0.00802034335	0.35	1937848.02	1923433.92	1877097.62	1941345.46	46336.3075	0	0	0	1.98072e+06	0	0	3
15	1	0.00858840123	0.375	1940176.08	1924541.29	1877097.62	1941345.46	47443.6744	0	0	0	2.03408e+06	0	0	3
16	1	0.00939348485	0.4	1944656.55	1926265.3	1877097.62	1944656.55	49167.6845	0	0	0	2.08887e+06	0	0	3
17	1	0.0101446453	0.425	1948056.05	1927878.8	1877097.62	1948056.05	50781.1807	0	0	0	2.15172e+06	0	0	3
18	1	0.0108547645	0.45	1950676.26	1929370.21	1877097.62	1950676.26	52272.5918	0	0	0	2.21367e+06	0	0	3
19	1	0.0115328118	0.475	1952932.46	1930755.5	1877097.62	1952932.46	53657.8843	0	0	0	2.28051e+06	0	0	3
20	1	0.0121814757	0.5	1955190.74	1932056.68	1877097.62	1955190.74	54959.0614	0	0	0	2.33776e+06	0	0	3
21	1	0.0131204142	0.525	1960072.7	1935302.15	1913182.81	1960072.7	34925.5642	0	0	0	2.40274e+06	0	0	3
22	1	0.0140181567	0.55	1963651.66	1937400.42	1913182.81	1963651.66	23852.7929	0	0	0	2.46947e+06	0	0	3
23	1	0.0148844193	0.575	1966071.87	1939091.99	1913182.81	1966071.87	25317.0755	0	0	0	2.55601e+06	0	0	3
24	1	0.0157253065	0.6	1968159.08	1941154.51	1913182.81	1968159.08	27379.5936	0	0	0	2.64955e+06	0	0	3
25	1	0.0165446196	0.625	1969830.95	1943188.05	1913404.25	1969830.95	29413.1305	0	0	0	2.73427e+06	0	0	3
26	1	0.0177456609	0.65	1973782.31	1946625.49	1916675.82	1973782.31	31847.0513	0	0	0	2.81439e+06	0	0	3
27	1	0.0189127862	0.675	1976717.59	1950723.13	1920104.24	1976717.59	34681.9871	0	0	0	2.89875e+06	0	0	3
28	1	0.0200527148	0.7	1978725.77	1954412.68	1922703.13	1978725.77	37309.4555	0	0	0	2.98486e+06	0	0	3
29	1	0.0211711007	0.725	1980309.69	1957549.19	1924896.07	1980309.69	39507.5814	0	0	0	3.05151e+06	0	0	3
30	1	0.0222739199	0.75	1981569.19	1960296.69	1929178.15	1981569.19	40716.7772	0	0	0	3.12329e+06	0	0	3
31	2	0.023706742	0.775	1983937.72	1963678.83	1932580.48	1983937.72	42700.0176	0	0	0	3.18559e+06	0	0	3
32	2	0.0251178678	0.8	1985686.57	1966601.34	1935355.98	1985686.57	44347.44	0	0	0	3.24612e+06	0	0	3
33	2	0.0265118668	0.825	1986888.7	1969157.77	1937848.02	1986888.7	45723.8489	0	0	0	3.30195e+06	0	0	3
34	2	0.0278904925	0.85	1987792.97	1971407.04	1940176.08	1987792.97	46865.7442	0	0	0	3.35263e+06	0	0	3
35	2	0.0292565061	0.875	1988547.85	1973398.3	1944656.55	1988547.85	43891.3074	0	0	0	3.39813e+06	0	0	3
36	2	0.030610396	0.9	1989226.25	1975498.92	1948056.05	1989226.25	41170.203	0	0	0	3.43897e+06	0	0	3
37	2	0.0319544324	0.925	1989841.25	1977327.95	1950676.26	1989841.25	39164.9872	0	0	0	3.47492e+06	0	0	3
38	2	0.0332895031	0.95	1990440.66	1978951.87	1952932.46	1990440.66	37508.2056	0	0	0	3.50713e+06	0	0	3
39	2	0.0346166375	0.975	1990972.9	1980407.26	1955190.74	1990972.9	35782.1671	0	0	0	3.53551e+06	0	0	3
40	2	0.0359367749	1	1991453.94	1981709.71	1960072.7	1991453.94	31381.2402	11740.6703	0	37.4	3.56036e+06	0	0	3
41	2	0.0372508069	1.025	1991890	1983106	1963651.66	1991890	28238.3331	11806.0784	0	41.8	3.58199e+06	0	0	3
42	2	0.0385594708	1.05	1992290.63	1984307.43	1966071.87	1992290.63	26218.76	11836.1261	0	45.1	3.60053e+06	0	0	3
43	2	0.0398635211	1.075	1992660.08	1985375.88	1968159.08	1992660.08	24501.0036	11864.6144	0	48.4	3.61619e+06	0	0	3
44	2	0.0411636118	1.1	1992998.71	1985753	1968159.08	1992998.71	24839.6282	11891.557	0	47.8	3.62899e+06	0	0	3
45	2	0.0424602919	1.125	1993313.01	1986673.05	1969830.95	1993313.01	23482.0673	11910.5084	0	50.7	3.63968e+06	0	0	3
46	2	0.0437541515	1.15	1993588.1	1987509.01	1973782.31	1993588.1	19805.794	11930.02	0	60.2	3.64831e+06	0	0	3
47	2	0.045045659	1.175	1993833.63	1988412.11	1976717.59	1993833.63	17116.0421	11879.1129	0	69.4	3.65511e+06	0	0	3
48	2	0.0463352301	1.2	1994125.02	1989178.49	1978725.77	1994125.02	15399.2493	11782.1134	0	76.5	3.66178e+06	0	0	3
49	3	0.0476236746	1.225	1994082.24	1989839.83	1980309.69	1994125.02	13815.3323	11740.6703	0	84.9	3.66622e+06	0	0	3
50	3	0.0489112882	1.25	1994072.4	1990420.51	1981569.19	1994125.02	12555.828	11740.6703	0	93.5	3.66781e+06	0	0	3
51	3	0.0501983252	1.275	1996536.9	1991051.98	1983937.72	1996536.9	12599.1846	11740.6703	0	93.1	3.618e+06	0	0	3
52	3	0.0514862181	1.3	1997426.01	1991714.43	1985686.57	1997426.01	11739.438	11740.6703	0	100	3.55036e+06	0	0	3
53	3	0.0527784194	1.325	1995941.48	1992219.42	1986888.7	1997426.01	10537.3022	11740.6703	0	100	3.52272e+06	0	0	3
54	3	0.0540781865	1.35	1994934.06	1992616.98	1987792.97	1997426.01	9633.0376	11740.6703	0	100	3.51347e+06	0	0	3
55	3	0.0553835405	1.375	1994250.82	1992936.46	1988547.85	1997426.01	8878.15309	11740.6703	0	100	3.51189e+06	0	0	3
56	3	0.0566926683	1.4	1993741.05	1993193.35	1989226.25	1997426.01	8199.75615	11740.6703	0	100	3.51631e+06	0	0	3
57	3	0.0580040409	1.425	1993328.01	1993395.87	1989841.25	1997426.01	7584.75959	11740.6703	0	100	3.5234e+06	0	0	3
58	3	0.0593156515	1.45	1993156.93	1993559.02	1990440.66	1997426.01	6985.34489	11740.6703	0	100	3.53254e+06	0	0	3
59	3	0.0606276557	1.475	1993126	1993690.53	1990972.9	1997426.01	6453.10289	11740.6703	0	100	3.53533e+06	0	0	3
60	3	0.0619395412	1.5	1993017.77	1993790.23	1991453.94	1997426.01	5972.06499	11740.6703	0	100	3.53509e+06	0	0	3
61	3	0.0632505764	1.525	1993227.95	1993876.15	1991890	1997426.01	5536.01096	11740.6703	0	100	3.53294e+06	0	0	3
62	3	0.0645645886	1.55	1993131.84	1993935.9	1992290.63	1997426.01	5135.37553	11740.6703	0	100	3.52772e+06	0	0	3
63	4	0.0658806713	1.575	1993038.55	1993971.48	1992660.08	1997426.01	4765.9262	11740.6703	0	100	3.52142e+06	0	0	3
64	4	0.0671990536	1.6	1992873.26	1993981.07	1992873.26	1997426.01	4552.74298	11740.6703	0	100	3.51697e+06	0	0	3
65	4	0.0685187045	1.625	1992833.1	1993972.38	1992833.1	1997426.01	4592.90928	11740.6703	0	100	3.51403e+06	0	0	3
66	4	0.0698401806	1.65	1992666.79	1993940.6	1992666.79	1997426.01	4759.21563	11740.6703	0	100	3.51265e+06	0	0	3
67	4	0.0711621427	1.675	1992585.04	1993891.85	1992585.04	1997426.01	4840.96714	11740.6703	0	100	3.5125e+06	0	0	3
68	4	0.0724850448	1.7	1992517.89	1993828.35	1992517.89	1997426.01	4802.58008	11740.6703	0	100	3.51288e+06	0	0	3
69	4	0.0738079345	1.725	1992466.73	1993748.86	1992466.73	1997426.01	4141.24784	11740.6703	0	100	3.51375e+06	0	0	3
