Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0.000279645314	0.025	0.545263437	0.545263437	0.545263437	0.545263437	0	0	0	0	3.90291	0	0	3
2	0	0.00054667319	0.05	0.560331416	0.552623539	0.545263437	0.560331416	0.00736010195	0	0	0	3.0729	0	0	3
3	0	0.000805695405	0.075	0.689791602	0.596721563	0.545263437	0.689791602	0.051458126	0	0	0	4.86729	0	0	3
4	0	0.00105736604	0.1	0.870633651	0.661917179	0.545263437	0.870633651	0.116653742	0	0	0	6.34802	0	0	3
5	0	0.00132395021	0.125	1.06696768	0.743476175	0.545263437	1.06696768	0.198212738	0	0	0	7.84024	0	0	3
6	0	0.00191705449	0.15	1.51360267	0.981740306	0.545263437	1.51360267	0.436476868	0	0	0	11.1804	0	0	3
7	0	0.00293097299	0.175	2.26122923	1.42435697	0.545263437	2.26122923	0.879093533	0	0	0	16.7722	0	0	3
8	0	0.00384184351	0.2	2.90687354	1.77584985	0.545263437	2.90687354	1.23058641	0	0	0	21.5896	0	0	3
9	0	0.00457049208	0.225	3.40406932	2.03542798	0.545263437	3.40406932	1.49016454	0	0	0	25.3125	0	0	3
10	0	0.00519619828	0.25	3.81682566	2.24993703	0.545263437	3.81682566	1.7046736	0	0	0	28.4708	0	0	3
11	0	0.00602898841	0.275	4.33928371	2.53854056	0.545263437	4.33928371	1.99327712	0	0	0	32.5335	0	0	3
12	1	0.00675594734	0.3	4.77050275	2.77870596	0.545263437	4.77050275	2.23344253	0	0	0	35.9115	0	0	3
13	1	0.00741343304	0.325	5.14233276	2.9883323	0.545263437	5.14233276	2.44306886	0	0	0	38.8645	0	0	3
14	1	0.00802034335	0.35	5.47038458	3.17615258	0.545263437	5.47038458	2.63088914	0	0	0	41.4981	0	0	3
15	1	0.00858840123	0.375	5.76448551	3.34735126	0.545263437	5.76448551	2.80208782	0	0	0	43.9104	0	0	3
16	1	0.00939348485	0.4	6.15353517	3.58785973	0.545263437	6.15353517	3.04259629	0	0	0	47.0576	0	0	3
17	1	0.0101446453	0.425	6.49095683	3.80281961	0.545263437	6.49095683	3.25755617	0	0	0	49.7901	0	0	3
18	1	0.0108547645	0.45	6.79105279	3.99830997	0.545263437	6.79105279	3.45304653	0	0	0	52.1451	0	0	3
19	1	0.0115328118	0.475	7.06201969	4.1784343	0.545263437	7.06201969	3.63317086	0	0	0	54.3303	0	0	3
20	1	0.0121814757	0.5	7.30590526	4.34497222	0.545263437	7.30590526	3.79970879	0	0	0	56.2328	0	0	3
21	1	0.0131204142	0.525	7.61969383	4.66717511	0.560331416	7.61969383	4.11455157	0	0	0	58.6591	0	0	3
22	1	0.0140181567	0.55	7.88658767	4.96312211	0.689791602	7.88658767	4.36640055	0	0	0	60.6892	0	0	3
23	1	0.0148844193	0.575	8.12306437	5.23617436	0.870633651	8.12306437	4.57425719	0	0	0	62.4925	0	0	3
