Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0.000279645314	0.025	292.805457	292.805457	292.805457	292.805457	0	0	0	0	0.439125	0	0	3
2	0	0.00054667319	0.05	292.795071	292.800384	292.795071	292.805457	0.00507298619	0	0	0	0.429785	0	0	3
3	0	0.000805695405	0.075	292.79162	292.797566	292.79162	292.805457	0.00789027821	0	0	0	0.432747	0	0	3
4	0	0.00105736604	0.1	292.797547	292.797562	292.79162	292.805457	0.00789487435	0	0	0	0.4209	0	0	3
5	0	0.00132395021	0.125	292.798557	292.797762	292.79162	292.805457	0.00789487435	0	0	0	0.421134	0	0	3
6	0	0.00191705449	0.15	292.79973	292.798371	292.79162	292.805457	0.00789487435	0	0	0	0.419359	0	0	3
7	0	0.00293097299	0.175	292.802149	292.799678	292.79162	292.805457	0.00789487435	0	0	0	0.41903	0	0	3
8	0	0.00384184351	0.2	292.805026	292.800946	292.79162	292.805457	0.00789487435	0	0	0	0.418647	0	0	3
9	0	0.00457049208	0.225	292.80786	292.802048	292.79162	292.80786	0.00789487435	0	0	0	0.418514	0	0	3
10	0	0.00519619828	0.25	292.810661	292.803085	292.79162	292.810661	0.00789487435	0	0	0	0.418588	0	0	3
11	0	0.00602898841	0.275	292.814692	292.804689	292.79162	292.814692	0.00789487435	0	0	0	0.418691	0	0	3
12	1	0.00675594734	0.3	292.818723	292.806199	292.79162	292.818723	0.00863692933	0	0	0	0.41875	0	0	3
13	1	0.00741343304	0.325	292.822778	292.807669	292.79162	292.822778	0.0101073117	0	0	0	0.421731	0	0	3
14	1	0.00802034335	0.35	292.826816	292.809118	292.79162	292.826816	0.0115561667	0	0	0	0.426107	0	0	3
15	1	0.00858840123	0.375	292.830832	292.810554	292.79162	292.830832	0.0129923627	0	0	0	0.430185	0	0	3
16	1	0.00939348485	0.4	292.836704	292.812795	292.79162	292.836704	0.0152335448	0	0	0	0.43648	0	0	3
