Iteration	CPUTime	PhysTime	Travels
1	0	0.000279645314	0.025
2	0	0.00054667319	0.05
3	0	0.000805695405	0.075
4	0	0.00105736604	0.1
5	0	0.00132395021	0.125
6	0	0.00191705449	0.15
7	0	0.00293097299	0.175
8	0	0.00384184351	0.2
9	0	0.00457049208	0.225
10	0	0.00519619828	0.25
11	0	0.00602898841	0.275
12	1	0.00675594734	0.3
13	1	0.00741343304	0.325
14	1	0.00802034335	0.35
15	1	0.00858840123	0.375
16	1	0.00939348485	0.4
17	1	0.0101446453	0.425
18	1	0.0108547645	0.45
19	1	0.0115328118	0.475
20	1	0.0121814757	0.5
21	1	0.0131204142	0.525
22	1	0.0140181567	0.55
23	1	0.0148844193	0.575
24	1	0.0157253065	0.6
25	1	0.0165446196	0.625
26	1	0.0177456609	0.65
27	1	0.0189127862	0.675
28	1	0.0200527148	0.7
29	1	0.0211711007	0.725
30	1	0.0222739199	0.75
31	2	0.023706742	0.775
32	2	0.0251178678	0.8
33	2	0.0265118668	0.825
34	2	0.0278904925	0.85
35	2	0.0292565061	0.875
36	2	0.030610396	0.9
37	2	0.0319544324	0.925
38	2	0.0332895031	0.95
39	2	0.0346166375	0.975
40	2	0.0359367749	1
41	2	0.0372508069	1.025
42	2	0.0385594708	1.05
43	2	0.0398635211	1.075
44	2	0.0411636118	1.1
45	2	0.0424602919	1.125
46	2	0.0437541515	1.15
47	2	0.045045659	1.175
48	2	0.0463352301	1.2
49	3	0.0476236746	1.225
50	3	0.0489112882	1.25
51	3	0.0501983252	1.275
52	3	0.0514862181	1.3
53	3	0.0527784194	1.325
54	3	0.0540781865	1.35
55	3	0.0553835405	1.375
56	3	0.0566926683	1.4
57	3	0.0580040409	1.425
58	3	0.0593156515	1.45
59	3	0.0606276557	1.475
60	3	0.0619395412	1.5
61	3	0.0632505764	1.525
62	3	0.0645645886	1.55
63	4	0.0658806713	1.575
64	4	0.0671990536	1.6
65	4	0.0685187045	1.625
66	4	0.0698401806	1.65
67	4	0.0711621427	1.675
68	4	0.0724850448	1.7
69	4	0.0738079345	1.725
70	4	0.0751312473	1.75
71	4	0.07645419	1.775
72	4	0.0777773979	1.8
73	4	0.0791001057	1.825
74	4	0.0804230008	1.85
75	4	0.0817453482	1.875
76	5	0.0830679069	1.9
77	5	0.0843897883	1.925
78	5	0.0857119962	1.95
79	5	0.0870336599	1.975
80	5	0.0883554462	2
81	5	0.0896769994	2.025
82	5	0.090998512	2.05
83	5	0.092319574	2.075
84	5	0.0936410438	2.1
85	5	0.0949619462	2.125
86	5	0.0962830535	2.15
87	5	0.0976039724	2.175
88	5	0.0989248899	2.2
89	5	0.100245409	2.225
90	5	0.101566243	2.25
91	5	0.102886472	2.275
92	6	0.104206891	2.3
93	6	0.105527051	2.325
94	6	0.106847164	2.35
95	6	0.108166744	2.375
96	6	0.10948645	2.4
97	6	0.110805391	2.425
98	6	0.11212443	2.45
99	6	0.113443701	2.475
100	6	0.114762196	2.5
101	6	0.116080978	2.525
102	6	0.117399451	2.55
103	6	0.118718212	2.575
104	6	0.120036592	2.6
105	6	0.121355279	2.625
106	6	0.122673569	2.65
107	7	0.123992202	2.675
108	7	0.125310308	2.7
109	7	0.126628842	2.725
110	7	0.127946953	2.75
111	7	0.129265513	2.775
112	7	0.130583608	2.8
113	7	0.131902189	2.825
114	7	0.133220275	2.85
115	7	0.134538842	2.875
116	7	0.135856901	2.9
117	7	0.137175423	2.925
118	7	0.138493438	2.95
119	7	0.139811919	2.975
120	7	0.141129901	3
121	7	0.142448363	3.025
122	7	0.143766335	3.05
123	8	0.145084797	3.075
124	12	0.146402776	3.1
125	12	0.14772125	3.125
126	13	0.149039243	3.15
127	13	0.150357733	3.175
128	13	0.151675742	3.2
129	13	0.152994247	3.225
130	13	0.154312271	3.25
131	13	0.15563079	3.275
132	13	0.156948827	3.3
133	13	0.158267357	3.325
134	13	0.159585405	3.35
135	13	0.160903944	3.375
136	13	0.162222	3.4
137	13	0.163540546	3.425
138	13	0.164858608	3.45
139	13	0.16617716	3.475
140	13	0.167495227	3.5
141	14	0.168813783	3.525
142	14	0.170131853	3.55
143	14	0.171450411	3.575
144	14	0.172768483	3.6
145	14	0.174087043	3.625
146	14	0.175405116	3.65
147	14	0.176723676	3.675
148	14	0.178041748	3.7
149	14	0.179360307	3.725
150	14	0.180678379	3.75
151	14	0.181996937	3.775
152	14	0.183315008	3.8
153	14	0.184633564	3.825
154	14	0.185951632	3.85
155	15	0.187270187	3.875
156	15	0.188588253	3.9
157	15	0.189906805	3.925
158	15	0.19122487	3.95
159	15	0.192543419	3.975
160	15	0.193861481	4
161	15	0.195180029	4.025
162	15	0.196498089	4.05
163	15	0.197816634	4.075
164	15	0.199134692	4.1
165	15	0.200453235	4.125
166	15	0.201771291	4.15
167	15	0.203089833	4.175
168	15	0.204407887	4.2
169	16	0.205726427	4.225
170	16	0.20704448	4.25
171	16	0.208363018	4.275
172	16	0.20968107	4.3
173	16	0.210999607	4.325
174	16	0.212317658	4.35
175	16	0.213636194	4.375
176	16	0.214954244	4.4
177	16	0.21627278	4.425
178	16	0.217590828	4.45
179	16	0.218909363	4.475
180	16	0.220227412	4.5
181	16	0.221545946	4.525
182	16	0.222863994	4.55
183	17	0.224182528	4.575
184	17	0.225500576	4.6
185	17	0.226819109	4.625
186	17	0.228137156	4.65
187	17	0.22945569	4.675
188	17	0.230773737	4.7
189	17	0.23209227	4.725
190	17	0.233410317	4.75
191	17	0.23472885	4.775
