Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0.00524655639	0.00736806302	1.6745431e-05	1.6745431e-05	1.6745431e-05	1.6745431e-05	0	0	0	0	0	0	0	3
2	2	0.00819179626	0.014736126	1.08098792e-05	1.46113906e-05	1.08098792e-05	1.6745431e-05	2.13404033e-06	0	0	0	0	0	0	3
3	2	0.0111375805	0.0221041891	8.16704016e-06	1.29069212e-05	8.16704016e-06	1.6745431e-05	3.83850979e-06	0	0	0	0	0	0	3
4	3	0.0140968006	0.0294722521	6.83919438e-06	1.16331755e-05	6.83919438e-06	1.6745431e-05	5.11225551e-06	0	0	0	0	0	0	3
5	3	0.017117596	0.0368403151	6.02334615e-06	1.06431915e-05	6.02334615e-06	1.6745431e-05	6.10223952e-06	0	0	0	0	0	0	3
6	3	0.0220268933	0.0442083781	5.26513617e-06	9.44454433e-06	5.26513617e-06	1.6745431e-05	7.30088665e-06	0	0	0	0	0	0	3
7	4	0.027407794	0.0515764412	4.67747412e-06	8.50863785e-06	4.67747412e-06	1.6745431e-05	8.23679312e-06	0	0	0	0	0	0	3
8	5	0.0329551885	0.0589445042	4.23659339e-06	7.78951845e-06	4.23659339e-06	1.6745431e-05	8.95591253e-06	0	0	0	0	0	0	3
9	5	0.0385542927	0.0663125672	3.89212229e-06	7.22351332e-06	3.89212229e-06	1.6745431e-05	9.52191766e-06	0	0	0	0	0	0	3
10	5	0.0441768009	0.0736806302	3.64199025e-06	6.76768261e-06	3.64199025e-06	1.6745431e-05	9.97774837e-06	0	0	0	0	0	0	3
11	6	0.0526406142	0.0810486932	3.33674715e-06	6.21604016e-06	3.33674715e-06	1.6745431e-05	1.05293908e-05	0	0	0	0	0	0	3
12	7	0.0611697506	0.0884167563	3.10674577e-06	5.78249914e-06	3.10674577e-06	1.6745431e-05	1.09629318e-05	0	0	0	0	0	0	3
13	7	0.0697371403	0.0957848193	2.91040687e-06	5.42965511e-06	2.91040687e-06	1.6745431e-05	1.13157759e-05	0	0	0	0	0	0	3
14	8	0.0783533982	0.103152882	2.75968149e-06	5.13604715e-06	2.75968149e-06	1.6745431e-05	1.16093838e-05	0	0	0	0	0	0	3
15	8	0.087027957	0.110520945	2.62428368e-06	4.88568576e-06	2.62428368e-06	1.6745431e-05	1.18597452e-05	0	0	0	0	0	0	3
16	8	0.100106698	0.117889008	2.47105237e-06	4.57021871e-06	2.47105237e-06	1.6745431e-05	1.21752123e-05	0	0	0	0	0	0	3
17	8	0.113275352	0.125257071	2.33873802e-06	4.31080132e-06	2.33873802e-06	1.6745431e-05	1.24346297e-05	0	0	0	0	0	0	3
18	9	0.126539678	0.132625134	2.23337665e-06	4.09303849e-06	2.23337665e-06	1.6745431e-05	1.26523925e-05	0	0	0	0	0	0	3
19	9	0.139903985	0.139993197	2.14148862e-06	3.90661699e-06	2.14148862e-06	1.6745431e-05	1.2838814e-05	0	0	0	0	0	0	3
20	9	0.153333442	0.14736126	2.06567756e-06	3.74538133e-06	2.06567756e-06	1.6745431e-05	1.30000496e-05	0	0	0	0	0	0	3
21	10	0.173578756	0.154729323	1.96881176e-06	3.5381716e-06	1.96881176e-06	1.6745431e-05	1.32072594e-05	0	0	0	0	0	0	3
22	10	0.193970753	0.162097386	1.8911741e-06	3.365024e-06	1.8911741e-06	1.6745431e-05	1.3380407e-05	0	0	0	0	0	0	3
23	10	0.21450771	0.169465449	1.82716678e-06	3.21778964e-06	1.82716678e-06	1.6745431e-05	1.35276413e-05	0	0	0	0	0	0	3
