Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00131578947	1.20437388	1.20437388	1.20437388	1.20437388	0	0	0	0	0.282314	0	0	3
5	1	0	0.00657894737	1.20606951	1.2052217	1.20437388	1.20606951	0.00084781829	0	0	0	1.11127	0	0	3
10	1	0	0.0131578947	1.20906829	1.20650389	1.20437388	1.20906829	0.00213001539	0	0	0	1.80825	0	0	3
15	1	0	0.0197368421	1.21413817	1.20841246	1.20437388	1.21413817	0.00403858471	0	0	0	2.31819	0	0	3
20	1	0	0.0263157895	1.22080859	1.21089169	1.20437388	1.22080859	0.00651780949	0	0	0	2.72415	0	0	3
25	2	0	0.0328947368	1.22849552	1.21382566	1.20437388	1.22849552	0.00945178192	0	0	0	3.04527	0	0	3
30	2	0	0.0394736842	1.23683908	1.21711329	1.20437388	1.23683908	0.0127394138	0	0	0	3.28938	0	0	3
35	2	0	0.0460526316	1.24556713	1.22067002	1.20437388	1.24556713	0.0162961432	0	0	0	3.43851	0	0	3
40	2	0	0.0526315789	1.25445307	1.22442369	1.20437388	1.25445307	0.0200498155	0	0	0	3.51739	0	0	3
45	2	0	0.0592105263	1.26330588	1.22831191	1.20437388	1.26330588	0.0239380337	0	0	0	3.54124	0	0	3
50	3	0	0.0657894737	1.27189637	1.23227414	1.20437388	1.27189637	0.0279002571	0	0	0	3.51655	0	0	3
55	3	0	0.0723684211	1.27998162	1.23624976	1.20437388	1.27998162	0.031875881	0	0	0	3.48896	0	0	3
60	3	0	0.0789473684	1.28751861	1.24019352	1.20437388	1.28751861	0.035819639	0	0	0	3.46422	0	0	3
65	3	0	0.0855263158	1.29448363	1.24407138	1.20437388	1.29448363	0.0396975042	0	0	0	3.45367	0	0	3
70	3	0	0.0921052632	1.30084455	1.24785626	1.20437388	1.30084455	0.0434823819	0	0	0	3.40461	0	0	3
75	3	0	0.0986842105	1.30663943	1.25153021	1.20437388	1.30663943	0.0471563298	0	0	0	3.40824	0	0	3
80	4	0	0.105263158	1.31190806	1.25508185	1.20437388	1.31190806	0.0507079681	0	0	0	3.35039	0	0	3
85	4	0	0.111842105	1.31671352	1.25850583	1.20437388	1.31671352	0.05413195	0	0	0	3.36528	0	0	3
90	4	0	0.118421053	1.32112141	1.26180139	1.20437388	1.32112141	0.0574275072	0	0	0	3.4285	0	0	3
95	4	0	0.125	1.32521004	1.26497182	1.20437388	1.32521004	0.06059794	0	0	0	3.55089	0	0	3
100	4	0	0.131578947	1.32906583	1.26802391	1.20437388	1.32906583	0.0636500361	0	0	0	3.64231	0	0	3
105	5	0	0.138157895	1.33279956	1.27096826	1.20437388	1.33279956	0.0665943837	0	0	0	3.65626	0	0	3
110	5	0	0.144736842	1.33636063	1.27381141	1.20437388	1.33636063	0.0694375302	0	0	0	3.7242	0	0	3
115	5	0	0.151315789	1.33977472	1.27655988	1.20437388	1.33977472	0.0721860016	0	0	0	3.75088	0	0	3
120	5	0	0.157894737	1.34306221	1.27921997	1.20437388	1.34306221	0.0748460949	0	0	0	3.77821	0	0	3
125	5	0	0.164473684	1.34620013	1.28179613	1.20437388	1.34620013	0.0774222547	0	0	0	3.87605	0	0	3
