Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00131578947	101656.778	101656.778	101656.778	101656.778	0	0	0	0	52879.5	0	0	3
5	1	0	0.00657894737	102689.819	102173.299	101656.778	102689.819	516.520447	0	0	0	201327	0	0	3
10	1	0	0.0131578947	103900.238	102748.945	101656.778	103900.238	1092.16705	0	0	0	319683	0	0	3
15	1	0	0.0197368421	105264.784	103377.905	101656.778	105264.784	1721.12681	0	0	0	404417	0	0	3
20	1	0	0.0263157895	106751.923	104052.709	101656.778	106751.923	2395.93035	0	0	0	473822	0	0	3
25	2	0	0.0328947368	108313.73	104762.879	101656.778	108313.73	3106.10058	0	0	0	529657	0	0	3
30	2	0	0.0394736842	109949.981	105503.893	101656.778	109949.981	3847.11524	0	0	0	571374	0	0	3
35	2	0	0.0460526316	111656.412	106272.958	101656.778	111656.412	4616.18009	0	0	0	606017	0	0	3
40	2	0	0.0526315789	113401.33	107065	101656.778	113401.33	5408.22139	0	0	0	623178	0	0	3
45	2	0	0.0592105263	115157.162	107874.216	101656.778	115157.162	6217.43767	0	0	0	626036	0	0	3
50	3	0	0.0657894737	116877.096	108692.66	101656.778	116877.096	7035.88128	0	0	0	616804	0	0	3
55	3	0	0.0723684211	118509.733	109510.749	101656.778	118509.733	7853.97077	0	0	0	602598	0	0	3
60	3	0	0.0789473684	120032.951	110320.149	101656.778	120032.951	8663.37092	0	0	0	598340	0	0	3
65	3	0	0.0855263158	121449.994	111115.138	101656.778	121449.994	9458.35985	0	0	0	601161	0	0	3
70	3	0	0.0921052632	122753.416	111891.023	101656.778	122753.416	10234.2451	0	0	0	603021	0	0	3
75	3	0	0.0986842105	123947.037	112644.524	101656.778	123947.037	10987.7459	0	0	0	607050	0	0	3
80	4	0	0.105263158	125031.939	113373.196	101656.778	125031.939	11716.4174	0	0	0	611615	0	0	3
85	4	0	0.111842105	126025.41	114076.096	101656.778	126025.41	12419.3182	0	0	0	624718	0	0	3
90	4	0	0.118421053	126937.185	114752.996	101656.778	126937.185	13096.2176	0	0	0	644196	0	0	3
