Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00131578947	1029.50456	1029.50456	1029.50456	1029.50456	0	0	0	0	1029.5	0	0	3
5	1	0	0.00657894737	1031.14748	1030.32602	1029.50456	1031.14748	0.821459021	0	0	0	1031.15	0	0	3
10	1	0	0.0131578947	1037.64423	1032.76542	1029.50456	1037.64423	3.26086263	0	0	0	1037.64	0	0	3
15	1	0	0.0197368421	1034.74724	1033.26087	1029.50456	1037.64423	3.75631746	0	0	0	1034.75	0	0	3
20	1	0	0.0263157895	1034.38825	1033.48635	1029.50456	1037.64423	3.98179322	0	0	0	1034.39	0	0	3
25	2	0	0.0328947368	1029.50456	1032.82272	1029.50456	1037.64423	3.98179322	0	0	0	1029.5	0	0	3
30	2	0	0.0394736842	1049.94342	1035.26853	1029.50456	1049.94342	5.76397521	0	0	0	1049.94	0	0	3
35	2	0	0.0460526316	1088.59259	1041.93404	1029.50456	1088.59259	12.4294822	0	0	0	1088.59	0	0	3
40	2	0	0.0526315789	1102.46685	1048.65991	1029.50456	1102.46685	19.1553498	0	0	0	1102.47	0	0	3
45	2	0	0.0592105263	1114.28004	1055.22192	1029.50456	1114.28004	25.717363	0	0	0	1114.28	0	0	3
50	3	0	0.0657894737	1122.82768	1061.3679	1029.50456	1122.82768	31.8633408	0	0	0	1122.83	0	0	3
55	3	0	0.0723684211	1128.17768	1066.93538	1029.50456	1128.17768	37.4308226	0	0	0	1128.18	0	0	3
60	3	0	0.0789473684	1129.98304	1071.7852	1029.50456	1129.98304	42.2806422	0	0	0	1129.98	0	0	3
65	3	0	0.0855263158	1130.23372	1075.96009	1029.50456	1130.23372	46.4555365	0	0	0	1130.23	0	0	3
70	3	0	0.0921052632	1129.65305	1079.53962	1029.50456	1130.23372	50.035067	0	0	0	1129.65	0	0	3
75	3	0	0.0986842105	1129.08436	1082.63617	1029.50456	1130.23372	53.1316131	0	0	0	1129.08	0	0	3
80	4	0	0.105263158	1129.08711	1085.36858	1029.50456	1130.23372	55.8640215	0	0	0	1129.09	0	0	3
