Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00131578947	1.08399806	1.08399806	1.08399806	1.08399806	0	0	0	0	0.282314	0	0	3
5	1	0	0.00657894737	0.711211129	0.897604596	0.711211129	1.08399806	0.186393467	0	0	0	1.11127	0	0	3
10	1	0	0.0131578947	0.41996306	0.73839075	0.41996306	1.08399806	0.345607312	0	0	0	1.80825	0	0	3
15	1	0	0.0197368421	0.24801512	0.615796843	0.24801512	1.08399806	0.46820122	0	0	0	2.31819	0	0	3
20	1	0	0.0263157895	0.146617184	0.521960911	0.146617184	1.08399806	0.562037152	0	0	0	2.72415	0	0	3
25	2	0	0.0328947368	0.0866377701	0.449407054	0.0866377701	1.08399806	0.634591009	0	0	0	3.04527	0	0	3
30	2	0	0.0394736842	0.0511780623	0.392517198	0.0511780623	1.08399806	0.691480865	0	0	0	3.28938	0	0	3
35	2	0	0.0460526316	0.0304404318	0.347257602	0.0304404318	1.08399806	0.73674046	0	0	0	3.43851	0	0	3
40	2	0	0.0526315789	0.0179791535	0.310671108	0.0179791535	1.08399806	0.773326955	0	0	0	3.51739	0	0	3
45	2	0	0.0592105263	0.0111471051	0.280718708	0.0111471051	1.08399806	0.803279355	0	0	0	3.54124	0	0	3
50	3	0	0.0657894737	0.00782897771	0.255910551	0.00782897771	1.08399806	0.828087512	0	0	0	3.51655	0	0	3
55	3	0	0.0723684211	0.0109588087	0.235497905	0.00782897771	1.08399806	0.848500157	0	0	0	3.48896	0	0	3
60	3	0	0.0789473684	0.0108437312	0.218216815	0.00782897771	1.08399806	0.865781248	0	0	0	3.46422	0	0	3
65	3	0	0.0855263158	0.00930994393	0.203294896	0.00782897771	1.08399806	0.880703167	0	0	0	3.45367	0	0	3
70	3	0	0.0921052632	0.00997430859	0.190406857	0.00782897771	1.08399806	0.893591206	0	0	0	3.40461	0	0	3
75	3	0	0.0986842105	0.0130915557	0.17932465	0.00782897771	1.08399806	0.904673413	0	0	0	3.40824	0	0	3
80	4	0	0.105263158	0.0182548402	0.169849956	0.00782897771	1.08399806	0.914148107	0	0	0	3.35039	0	0	3
85	4	0	0.111842105	0.0243352091	0.161765803	0.00782897771	1.08399806	0.92223226	0	0	0	3.36528	0	0	3
90	4	0	0.118421053	0.0276699543	0.154708127	0.00782897771	1.08399806	0.929289936	0	0	0	3.4285	0	0	3
95	4	0	0.125	0.0300466417	0.148475052	0.00782897771	1.08399806	0.93552301	0	0	0	3.55089	0	0	3
100	4	0	0.131578947	0.0317511007	0.142916769	0.00782897771	1.08399806	0.941081294	0	0	0	3.64231	0	0	3
105	5	0	0.138157895	0.0316506353	0.137859218	0.00782897771	1.08399806	0.946138845	0	0	0	3.65626	0	0	3
110	5	0	0.144736842	0.0317222341	0.133244566	0.00782897771	1.08399806	0.950753497	0	0	0	3.7242	0	0	3
115	5	0	0.151315789	0.0319546948	0.129024155	0.00782897771	1.08399806	0.954973908	0	0	0	3.75088	0	0	3
120	5	0	0.157894737	0.0322677456	0.125153898	0.00782897771	1.08399806	0.958844164	0	0	0	3.77821	0	0	3
125	5	0	0.164473684	0.0326080138	0.121594441	0.00782897771	1.08399806	0.962403622	0	0	0	3.87605	0	0	3
130	6	0	0.171052632	0.0329945806	0.118312965	0.00782897771	1.08399806	0.965685098	0	0	0	3.92509	0	0	3
135	6	0	0.177631579	0.0334043935	0.115280516	0.00782897771	1.08399806	0.968717547	0	0	0	3.96747	0	0	3
140	6	0	0.184210526	0.0338362731	0.112472094	0.00782897771	1.08399806	0.971525969	0	0	0	4.01016	0	0	3
145	6	0	0.190789474	0.0342833441	0.109865802	0.00782897771	1.08399806	0.974132261	0	0	0	4.01505	0	0	3
150	6	0	0.197368421	0.0347784455	0.107443629	0.00782897771	1.08399806	0.976554433	0	0	0	4.04868	0	0	3
155	7	0	0.203947368	0.0352586202	0.105187848	0.00782897771	1.08399806	0.978810215	0	0	0	4.03675	0	0	3
160	7	0	0.210526316	0.0357854708	0.103084745	0.00782897771	1.08399806	0.980913317	0	0	0	4.03821	0	0	3
165	7	0	0.217105263	0.0363771937	0.101122759	0.00782897771	1.08399806	0.982875304	0	0	0	4.01914	0	0	3
170	7	0	0.223684211	0.0370932195	0.0992933433	0.00782897771	1.08399806	0.98470472	0	0	0	4.06028	0	0	3
175	7	0	0.230263158	0.0378923354	0.0975877597	0.00782897771	1.08399806	0.986410303	0	0	0	4.06058	0	0	3
180	8	0	0.236842105	0.0388327933	0.0959997877	0.00782897771	1.08399806	0.987998275	0	0	0	4.03024	0	0	3
185	8	0	0.243421053	0.0400297435	0.0945268918	0.00782897771	1.08399806	0.989471171	0	0	0	4.03227	0	0	3
190	8	0	0.25	0.0412777911	0.0931615302	0.00782897771	1.08399806	0.990836533	0	0	0	4.06503	0	0	3
195	8	0	0.256578947	0.042468063	0.0918941935	0.00782897771	1.08399806	0.992103869	0	0	0	4.06285	0	0	3
200	9	0	0.263157895	0.0436317623	0.0907170611	0.00782897771	1.08399806	0.993281002	0	0	0	4.03596	0	0	3
205	9	0	0.269736842	0.0447597236	0.0896228387	0.00782897771	1.08399806	0.994375224	0	0	0	3.99751	0	0	3
210	9	0	0.276315789	0.0458270154	0.0886043312	0.00782897771	1.08399806	0.995393732	0	0	0	4.03262	0	0	3
215	9	0	0.282894737	0.0468266632	0.0876548388	0.00782897771	1.08399806	0.996343224	0	0	0	4.02432	0	0	3
220	9	0	0.289473684	0.0477130781	0.0867672441	0.00782897771	1.08399806	0.997230819	0	0	0	3.99819	0	0	3
225	10	0	0.296052632	0.0484720261	0.0859347393	0.00782897771	1.08399806	0.998063324	0	0	0	3.96735	0	0	3
230	10	0	0.302631579	0.0487854465	0.0851443289	0.00782897771	1.08399806	0.998853734	0	0	0	4.02667	0	0	3
235	10	0	0.309210526	0.0491697265	0.084394858	0.00782897771	1.08399806	0.999603205	0	0	0	4.09203	0	0	3
240	10	0	0.315789474	0.0492263064	0.0836771324	0.00782897771	1.08399806	1.00032093	0	0	0	4.09092	0	0	3
245	10	0	0.322368421	0.0495898267	0.0829953863	0.00782897771	1.08399806	1.00100268	0	0	0	4.06082	0	0	3
250	11	0	0.328947368	0.0496973225	0.0823424831	0.00782897771	1.08399806	1.00165558	0	0	0	4.04125	0	0	3
255	11	0	0.335526316	0.0502599769	0.0817255118	0.00782897771	1.08399806	1.00227255	0	0	0	4.00895	0	0	3
260	11	0	0.342105263	0.0503243763	0.0811330376	0.00782897771	1.08399806	1.00286503	0	0	0	3.97691	0	0	3
265	11	0	0.348684211	0.0508491512	0.0805722249	0.00782897771	1.08399806	1.00342584	0	0	0	3.94299	0	0	3
270	11	0	0.355263158	0.0510581031	0.0800356045	0.00782897771	1.08399806	1.00396246	0	0	0	3.91269	0	0	3
