Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00131578947	91224.0514	91224.0514	91224.0514	91224.0514	0	0	0	0	52879.5	0	0	3
5	1	0	0.00657894737	59130.1961	75177.1238	59130.1961	91224.0514	16046.9276	0	0	0	201327	0	0	3
10	1	0	0.0131578947	35358.8264	61904.358	35358.8264	91224.0514	29319.6934	0	0	0	319683	0	0	3
15	1	0	0.0197368421	20944.7501	51664.456	20944.7501	91224.0514	39559.5954	0	0	0	404417	0	0	3
20	1	0	0.0263157895	12402.1594	43811.9967	12402.1594	91224.0514	47412.0547	0	0	0	473822	0	0	3
25	2	0	0.0328947368	7344.08846	37734.012	7344.08846	91224.0514	53490.0394	0	0	0	529657	0	0	3
30	2	0	0.0394736842	4346.55842	32964.3758	4346.55842	91224.0514	58259.6756	0	0	0	571374	0	0	3
35	2	0	0.0460526316	2573.03286	29165.4579	2573.03286	91224.0514	62058.5935	0	0	0	606017	0	0	3
40	2	0	0.0526315789	1528.05054	26094.6349	1528.05054	91224.0514	65129.4165	0	0	0	623178	0	0	3
45	2	0	0.0592105263	909.751252	23576.1465	909.751252	91224.0514	67647.9049	0	0	0	626036	0	0	3
50	3	0	0.0657894737	725.270675	21498.7942	725.270675	91224.0514	69725.2572	0	0	0	616804	0	0	3
55	3	0	0.0723684211	1189.25892	19806.3329	725.270675	91224.0514	71417.7185	0	0	0	602598	0	0	3
60	3	0	0.0789473684	884.837071	18350.8332	725.270675	91224.0514	72873.2182	0	0	0	598340	0	0	3
65	3	0	0.0855263158	678.992742	17088.5589	678.992742	91224.0514	74135.4925	0	0	0	601161	0	0	3
70	3	0	0.0921052632	892.839527	16008.8443	678.992742	91224.0514	75215.2071	0	0	0	603021	0	0	3
75	3	0	0.0986842105	1215.23622	15084.2438	678.992742	91224.0514	76139.8076	0	0	0	607050	0	0	3
80	4	0	0.105263158	1221.21098	14268.7712	678.992742	91224.0514	76955.2801	0	0	0	611615	0	0	3
85	4	0	0.111842105	1237.14179	13544.7918	678.992742	91224.0514	77679.2596	0	0	0	624718	0	0	3
90	4	0	0.118421053	1411.4547	12906.1951	678.992742	91224.0514	78317.8563	0	0	0	644196	0	0	3
95	4	0	0.125	1690.39679	12345.4052	678.992742	91224.0514	78878.6462	0	0	0	679864	0	0	3
100	4	0	0.131578947	1839.13447	11845.1066	678.992742	91224.0514	79378.9448	0	0	0	706302	0	0	3
105	5	0	0.138157895	1808.28843	11388.8876	678.992742	91224.0514	79835.1638	0	0	0	712520	0	0	3
110	5	0	0.144736842	1802.10949	10972.0712	678.992742	91224.0514	80251.9802	0	0	0	729655	0	0	3
115	5	0	0.151315789	1822.2948	10590.8305	678.992742	91224.0514	80633.2209	0	0	0	738051	0	0	3
120	5	0	0.157894737	1857.69087	10241.5049	678.992742	91224.0514	80982.5465	0	0	0	747276	0	0	3
125	5	0	0.164473684	1902.77304	9920.78444	678.992742	91224.0514	81303.2669	0	0	0	779425	0	0	3
