Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0.0087122225	0.00805624849	293.341917	293.341917	293.341917	293.341917	0	0	0	0	80.0397	0	0	3
2	1	0.0131440272	0.016112497	293.426144	293.370316	293.341917	293.426144	0.0283988049	0	0	0	79.9104	0	0	3
3	2	0.0172733156	0.0241687455	293.49653	293.400488	293.341917	293.49653	0.0585708921	0	0	0	79.8223	0	0	3
4	2	0.0214501349	0.032224994	293.559579	293.431467	293.341917	293.559579	0.0895494994	0	0	0	79.8018	0	0	3
5	2	0.0258797364	0.0402812425	293.618388	293.46346	293.341917	293.618388	0.121543087	0	0	0	79.8002	0	0	3
6	2	0.0336127001	0.048337491	293.70335	293.51865	293.341917	293.70335	0.176732378	0	0	0	79.8	0	0	3
7	3	0.0427936561	0.0563937395	293.7864	293.576093	293.341917	293.7864	0.234175669	0	0	0	79.8	0	0	3
8	3	0.0525812296	0.0644499879	293.861189	293.629161	293.341917	293.861189	0.287243943	0	0	0	79.8	0	0	3
9	3	0.0625484757	0.0725062364	293.927797	293.676749	293.341917	293.927797	0.334832208	0	0	0	79.8	0	0	3
10	6	0.0726406876	0.0805624849	293.988825	293.720107	293.341917	293.988825	0.378189936	0	0	0	79.8	0	0	3
11	6	0.0879050577	0.0886187334	294.071916	293.781197	293.341917	294.071916	0.43928016	0	0	0	79.8	0	0	3
12	6	0.1	0.0966749819	294.133516	293.82381	293.341917	294.133516	0.481892877	0	0	0	79.8	0	0	3
13	7	0.115545437	0.10473123	294.207417	293.87542	293.341917	294.207417	0.533503255	0	0	0	79.8	0	0	3
14	7	0.131222678	0.112787479	294.277644	293.923474	293.341917	294.277644	0.581557124	0	0	0	79.8	0	0	3
15	7	0.147025424	0.120843727	294.344745	293.968754	293.341917	294.344745	0.62683655	0	0	0	79.8	0	0	3
16	7	0.170893682	0.128899976	294.438916	294.03442	293.341917	294.438916	0.692502887	0	0	0	79.8	0	0	3
17	8	0.194977618	0.136956224	294.528053	294.095394	293.341917	294.528053	0.753477204	0	0	0	79.8	0	0	3
18	8	0.2	0.145012473	294.54652	294.106723	293.341917	294.54652	0.764805826	0	0	0	79.8	0	0	3
19	8	0.224328918	0.153068721	294.630508	294.163529	293.341917	294.630508	0.821611339	0	0	0	79.8	0	0	3
20	9	0.248819412	0.16112497	294.71072	294.217387	293.341917	294.71072	0.875469652	0	0	0	79.8	0	0	3
21	9	0.285756534	0.169181218	294.823234	294.295699	293.341917	294.823234	0.953781963	0	0	0	79.8	0	0	3
22	13	0.3	0.177237467	294.865818	294.322767	293.341917	294.865818	0.980850195	0	0	0	79.8	0	0	3
23	14	0.337109892	0.185293715	294.969671	294.39398	293.341917	294.969671	1.05206299	0	0	0	79.8	0	0	3
24	14	0.374369451	0.193349964	295.068223	294.461085	293.341917	295.068223	1.11916778	0	0	0	79.8	0	0	3
25	14	0.4	0.201406212	295.133713	294.504185	293.341917	295.133713	1.16226737	0	0	0	79.8	0	0	3
26	15	0.456508313	0.209462461	295.267246	294.598639	293.341917	295.267246	1.25672195	0	0	0	79.8	0	0	3
27	15	0.5	0.217518709	295.364987	294.665299	293.341917	295.364987	1.32338147	0	0	0	79.8	0	0	3
