Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0.0087122225	0.00805624849	101325.04	101325.04	101325.04	101325.04	0	0	0	0	0.0403355	0	0	3
2	1	0.0131440272	0.016112497	101325.022	101325.034	101325.022	101325.04	0.00607603189	0	0	0	0.0237125	0	0	3
3	2	0.0172733156	0.0241687455	101325.013	101325.029	101325.013	101325.04	0.0110586612	0	0	0	0.0141253	0	0	3
4	2	0.0214501349	0.032224994	101325.01	101325.026	101325.01	101325.04	0.0147398027	0	0	0	0.0106933	0	0	3
5	2	0.0258797364	0.0402812425	101325.01	101325.023	101325.01	101325.04	0.0173377979	0	0	0	0.0105101	0	0	3
6	2	0.0336127001	0.048337491	101325.011	101325.02	101325.01	101325.04	0.0202049279	0	0	0	0.0107649	0	0	3
7	3	0.0427936561	0.0563937395	101325.011	101325.018	101325.01	101325.04	0.0222639228	0	0	0	0.0107638	0	0	3
8	3	0.0525812296	0.0644499879	101325.01	101325.017	101325.01	101325.04	0.0236877027	0	0	0	0.0107283	0	0	3
9	3	0.0625484757	0.0725062364	101325.01	101325.016	101325.01	101325.04	0.0247185516	0	0	0	0.0106042	0	0	3
10	6	0.0726406876	0.0805624849	101325.01	101325.015	101325.01	101325.04	0.0254821901	0	0	0	0.010616	0	0	3
11	6	0.0879050577	0.0886187334	101325.01	101325.014	101325.01	101325.04	0.0263410658	0	0	0	0.0104895	0	0	3
12	6	0.1	0.0966749819	101325.01	101325.013	101325.01	101325.04	0.0268406714	0	0	0	0.0105273	0	0	3
13	7	0.115545437	0.10473123	101325.01	101325.013	101325.01	101325.04	0.0273524393	0	0	0	0.010436	0	0	3
14	7	0.131222678	0.112787479	101325.01	101325.013	101325.01	101325.04	0.0277471872	0	0	0	0.0104947	0	0	3
15	7	0.147025424	0.120843727	101325.01	101325.012	101325.01	101325.04	0.028074807	0	0	0	0.0104407	0	0	3
16	7	0.170893682	0.128899976	101325.01	101325.012	101325.01	101325.04	0.0284545281	0	0	0	0.0104907	0	0	3
17	8	0.194977618	0.136956224	101325.009	101325.012	101325.009	101325.04	0.0287550619	0	0	0	0.0104644	0	0	3
18	8	0.2	0.145012473	101325.01	101325.012	101325.009	101325.04	0.028806254	0	0	0	0.0106618	0	0	3
19	8	0.224328918	0.153068721	101325.009	101325.011	101325.009	101325.04	0.0290310551	0	0	0	0.010552	0	0	3
20	9	0.248819412	0.16112497	101325.009	101325.011	101325.009	101325.04	0.0292144554	0	0	0	0.010535	0	0	3
21	9	0.285756534	0.169181218	101325.009	101325.011	101325.009	101325.04	0.0294397301	0	0	0	0.0105035	0	0	3
22	13	0.3	0.177237467	101325.01	101325.011	101325.009	101325.04	0.0295007469	0	0	0	0.0107375	0	0	3
23	14	0.337109892	0.185293715	101325.01	101325.011	101325.009	101325.04	0.0296336107	0	0	0	0.0107757	0	0	3
24	14	0.374369451	0.193349964	101325.01	101325.011	101325.009	101325.04	0.0297413227	0	0	0	0.0107553	0	0	3
25	14	0.4	0.201406212	101325.01	101325.011	101325.009	101325.04	0.0298071836	0	0	0	0.0107043	0	0	3
26	15	0.456508313	0.209462461	101325.01	101325.01	101325.009	101325.04	0.0299302606	0	0	0	0.010659	0	0	3
27	15	0.5	0.217518709	101325.009	101325.01	101325.009	101325.04	0.0300077846	0	0	0	0.0106175	0	0	3
28	15	0.557141015	0.225574958	101325.009	101325.01	101325.009	101325.04	0.0300947943	0	0	0	0.0105571	0	0	3
29	16	0.6	0.233631206	101325.009	101325.01	101325.009	101325.04	0.0301517453	0	0	0	0.0104975	0	0	3
30	16	0.657547478	0.241687455	101325.009	101325.01	101325.009	101325.04	0.0302165875	0	0	0	0.0104746	0	0	3
31	16	0.7	0.249743703	101325.009	101325.01	101325.009	101325.04	0.0302597506	0	0	0	0.0104197	0	0	3
32	17	0.776167603	0.257799952	101325.009	101325.01	101325.009	101325.04	0.0303266377	0	0	0	0.0103903	0	0	3
33	17	0.8	0.2658562	101325.009	101325.01	101325.009	101325.04	0.0303448437	0	0	0	0.010384	0	0	3
34	17	0.876439417	0.273912449	101325.009	101325.01	101325.009	101325.04	0.0303975726	0	0	0	0.0103606	0	0	3
