Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0.0087122225	0.00805624849	71.5791535	71.5791535	71.5791535	71.5791535	0	0	0	0	0	0	0	3
2	1	0.0131440272	0.016112497	80.0430252	74.4329384	71.5791535	80.0430252	2.85378488	0	0	0	0	0	0	3
3	2	0.0172733156	0.0241687455	70.4432998	73.4791917	70.4432998	80.0430252	2.85378488	0	0	0	0	0	0	3
4	2	0.0214501349	0.032224994	61.7140077	71.1882481	61.7140077	80.0430252	3.24469025	0	0	0	0	0	0	3
5	2	0.0258797364	0.0402812425	53.9958424	68.2455788	53.9958424	80.0430252	6.1873596	0	0	0	0	0	0	3
6	2	0.0336127001	0.048337491	44.8537576	62.8640384	44.8537576	80.0430252	11.5689	0	0	0	0	0	0	3
7	3	0.0427936561	0.0563937395	37.137481	57.3446597	37.137481	80.0430252	17.0882787	0	0	0	0	0	0	3
8	3	0.0525812296	0.0644499879	31.6384432	52.559654	31.6384432	80.0430252	21.8732844	0	0	0	0	0	0	3
9	3	0.0625484757	0.0725062364	27.9082289	48.6313917	27.9082289	80.0430252	25.8015467	0	0	0	0	0	0	3
10	6	0.0726406876	0.0805624849	25.4304464	45.4080074	25.4304464	80.0430252	29.024931	0	0	0	0	0	0	3
11	6	0.0879050577	0.0886187334	23.1066177	41.5354581	23.1066177	80.0430252	32.8974803	0	0	0	0	0	0	3
12	6	0.1	0.0966749819	21.7004228	39.136422	21.7004228	80.0430252	35.2965164	0	0	0	0	0	0	3
13	7	0.115545437	0.10473123	20.3920832	36.6145661	20.3920832	80.0430252	37.8183723	0	0	0	0	0	0	3
14	7	0.131222678	0.112787479	19.3243342	34.5488932	19.3243342	80.0430252	39.8840452	0	0	0	0	0	0	3
15	7	0.147025424	0.120843727	18.4261425	32.8159702	18.4261425	80.0430252	41.6169682	0	0	0	0	0	0	3
16	7	0.170893682	0.128899976	17.3123816	30.650626	17.3123816	80.0430252	43.7823124	0	0	0	0	0	0	3
17	8	0.194977618	0.136956224	16.3948131	28.889726	16.3948131	80.0430252	45.5432124	0	0	0	0	0	0	3
