Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0.0087122225	0.00805624849	0	0	0	0	0	0	0	0	0	0	0	3
2	1	0.0131440272	0.016112497	0	0	0	0	0	0	0	0	0	0	0	3
3	2	0.0172733156	0.0241687455	0	0	0	0	0	0	0	0	0	0	0	3
4	2	0.0214501349	0.032224994	0	0	0	0	0	0	0	0	0	0	0	3
5	2	0.0258797364	0.0402812425	0	0	0	0	0	0	0	0	0	0	0	3
6	2	0.0336127001	0.048337491	0	0	0	0	0	0	0	0	0	0	0	3
7	3	0.0427936561	0.0563937395	0	0	0	0	0	0	0	0	0	0	0	3
8	3	0.0525812296	0.0644499879	0	0	0	0	0	0	0	0	0	0	0	3
9	3	0.0625484757	0.0725062364	0	0	0	0	0	0	0	0	0	0	0	3
10	6	0.0726406876	0.0805624849	0	0	0	0	0	0	0	0	0	0	0	3
11	6	0.0879050577	0.0886187334	0	0	0	0	0	0	0	0	0	0	0	3
12	6	0.1	0.0966749819	0	0	0	0	0	0	0	0	0	0	0	3
13	7	0.115545437	0.10473123	0	0	0	0	0	0	0	0	0	0	0	3
14	7	0.131222678	0.112787479	0	0	0	0	0	0	0	0	0	0	0	3
15	7	0.147025424	0.120843727	0	0	0	0	0	0	0	0	0	0	0	3
16	7	0.170893682	0.128899976	0	0	0	0	0	0	0	0	0	0	0	3
17	8	0.194977618	0.136956224	0	0	0	0	0	0	0	0	0	0	0	3
18	8	0.2	0.145012473	0	0	0	0	0	0	0	0	0	0	0	3
19	8	0.224328918	0.153068721	0	0	0	0	0	0	0	0	0	0	0	3
20	9	0.248819412	0.16112497	0	0	0	0	0	0	0	0	0	0	0	3
21	9	0.285756534	0.169181218	0	0	0	0	0	0	0	0	0	0	0	3
22	13	0.3	0.177237467	0	0	0	0	0	0	0	0	0	0	0	3
23	14	0.337109892	0.185293715	0	0	0	0	0	0	0	0	0	0	0	3
24	14	0.374369451	0.193349964	0	0	0	0	0	0	0	0	0	0	0	3
25	14	0.4	0.201406212	0	0	0	0	0	0	0	0	0	0	0	3
26	15	0.456508313	0.209462461	0	0	0	0	0	0	0	0	0	0	0	3
27	15	0.5	0.217518709	0	0	0	0	0	0	0	0	0	0	0	3
28	15	0.557141015	0.225574958	0	0	0	0	0	0	0	0	0	0	0	3
29	16	0.6	0.233631206	0	0	0	0	0	0	0	0	0	0	0	3
30	16	0.657547478	0.241687455	0	0	0	0	0	0	0	0	0	0	0	3
31	16	0.7	0.249743703	0	0	0	0	0	0	0	0	0	0	0	3
32	17	0.776167603	0.257799952	0	0	0	0	0	0	0	0	0	0	0	3
33	17	0.8	0.2658562	0	0	0	0	0	0	0	0	0	0	0	3
34	17	0.876439417	0.273912449	0	0	0	0	0	0	0	0	0	0	0	3
35	18	0.9	0.281968697	0	0	0	0	0	0	0	0	0	0	0	3
36	18	0.976653836	0.290024946	0	0	0	0	0	0	0	0	0	0	0	3
37	18	1	0.298081194	0	0	0	0	0	0	0	0	0	0	0	3
38	23	1.07682422	0.306137443	0	0	0	0	0	0	0	0	0	0	0	3
39	23	1.1	0.314193691	0	0	0	0	0	0	0	0	0	0	0	3
40	24	1.17693841	0.32224994	0	0	0	0	0	0	0	0	0	0	0	3
41	24	1.2	0.330306188	0	0	0	0	0	0	0	0	0	0	0	3
42	24	1.27705065	0.338362437	0	0	0	0	0	0	0	0	0	0	0	3
43	25	1.3	0.346418685	0	0	0	0	0	0	0	0	0	0	0	3
44	25	1.37711914	0.354474934	0	0	0	0	0	0	0	0	0	0	0	3
45	25	1.4	0.362531182	0	0	0	0	0	0	0	0	0	0	0	3
46	26	1.47719803	0.370587431	0	0	0	0	0	0	0	0	0	0	0	3
47	26	1.5	0.378643679	0	0	0	0	0	0	0	0	0	0	0	3
48	27	1.57722951	0.386699928	0	0	0	0	0	0	0	0	0	0	0	3
49	35	1.6	0.394756176	0	0	0	0	0	0	0	0	0	0	0	3
50	36	1.67728887	0.402812425	0	0	0	0	0	0	0	0	0	0	0	3
51	36	1.7	0.410868673	0	0	0	0	0	0	0	0	0	0	0	3
52	36	1.77732394	0.418924922	0	0	0	0	0	0	0	0	0	0	0	3
53	37	1.8	0.42698117	0	0	0	0	0	0	0	0	0	0	0	3
54	37	1.87734631	0.435037419	0	0	0	0	0	0	0	0	0	0	0	3
55	37	1.9	0.443093667	0	0	0	0	0	0	0	0	0	0	0	3
56	38	1.97736612	0.451149916	0	0	0	0	0	0	0	0	0	0	0	3
57	38	2	0.459206164	0	0	0	0	0	0	0	0	0	0	0	3
58	39	2.0774051	0.467262413	0	0	0	0	0	0	0	0	0	0	0	3
59	39	2.1	0.475318661	0	0	0	0	0	0	0	0	0	0	0	3
60	39	2.17740461	0.48337491	0	0	0	0	0	0	0	0	0	0	0	3
61	40	2.2	0.491431158	0	0	0	0	0	0	0	0	0	0	0	3
62	40	2.27742162	0.499487407	0	0	0	0	0	0	0	0	0	0	0	3
63	41	2.3	0.507543655	0	0	0	0	0	0	0	0	0	0	0	3
64	41	2.3774354	0.515599904	0	0	0	0	0	0	0	0	0	0	0	3
65	42	2.4	0.523656152	0	0	0	0	0	0	0	0	0	0	0	3
66	42	2.47744666	0.531712401	0	0	0	0	0	0	0	0	0	0	0	3
67	42	2.5	0.539768649	0	0	0	0	0	0	0	0	0	0	0	3
68	43	2.57744708	0.547824898	0	0	0	0	0	0	0	0	0	0	0	3
69	43	2.6	0.555881146	0	0	0	0	0	0	0	0	0	0	0	3
70	44	2.67746954	0.563937395	0	0	0	0	0	0	0	0	0	0	0	3
71	44	2.7	0.571993643	0	0	0	0	0	0	0	0	0	0	0	3
72	44	2.77746013	0.580049891	0	0	0	0	0	0	0	0	0	0	0	3
73	45	2.8	0.58810614	0	0	0	0	0	0	0	0	0	0	0	3
74	45	2.877467	0.596162388	0	0	0	0	0	0	0	0	0	0	0	3
75	46	2.9	0.604218637	0	0	0	0	0	0	0	0	0	0	0	3
76	46	2.97747606	0.612274885	0	0	0	0	0	0	0	0	0	0	0	3
77	46	3	0.620331134	0	0	0	0	0	0	0	0	0	0	0	3
78	47	3.07748043	0.628387382	0	0	0	0	0	0	0	0	0	0	0	3
79	47	3.1	0.636443631	0	0	0	0	0	0	0	0	0	0	0	3
80	48	3.17747576	0.644499879	0	0	0	0	0	0	0	0	0	0	0	3
81	48	3.2	0.652556128	0	0	0	0	0	0	0	0	0	0	0	3
82	48	3.27749012	0.660612376	0	0	0	0	0	0	0	0	0	0	0	3
83	49	3.3	0.668668625	0	0	0	0	0	0	0	0	0	0	0	3
84	49	3.37748157	0.676724873	0	0	0	0	0	0	0	0	0	0	0	3
85	50	3.4	0.684781122	0	0	0	0	0	0	0	0	0	0	0	3
86	50	3.47748614	0.69283737	0	0	0	0	0	0	0	0	0	0	0	3
87	50	3.5	0.700893619	0	0	0	0	0	0	0	0	0	0	0	3
