Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0129612195	201627.963	201627.963	201627.963	201627.963	0	0	0	0	0	0	3
2	4	0	0.0259224391	90238.2093	145933.086	90238.2093	201627.963	55694.8767	0	0	0	0	0	3
3	4	0	0.0388836586	27905.5603	106590.577	27905.5603	201627.963	95037.3852	0	0	0	0	0	3
4	5	0	0.0518448782	35524.0249	88823.9393	27905.5603	201627.963	112804.023	0	0	0	0	0	3
5	5	0	0.0648060977	26630.6349	76385.2784	26630.6349	201627.963	125242.684	0	0	0	0	0	3
6	6	0	0.0777673173	22592.3618	67419.7923	22592.3618	201627.963	134208.17	0	0	0	0	0	3
7	6	0	0.0907285368	25365.6232	61412.0539	22592.3618	201627.963	140215.909	0	0	0	0	0	3
8	7	0	0.103689756	24340.9018	56778.1599	22592.3618	201627.963	144849.803	0	0	0	0	0	3
9	8	0	0.116650976	25668.0612	53321.4822	22592.3618	201627.963	148306.48	0	0	0	0	0	3
10	8	0	0.129612195	24208.5613	50410.1901	22592.3618	201627.963	151217.772	0	0	0	0	0	3
11	9	0	0.142573415	25254.4322	48123.3031	22592.3618	201627.963	153504.66	0	0	0	0	0	3
12	10	0	0.155534635	24507.8327	46155.3472	22592.3618	201627.963	155472.615	0	0	0	0	0	3
13	11	0	0.168495854	24949.1129	44524.0984	22592.3618	201627.963	157103.864	0	0	0	0	0	3
14	11	0	0.181457074	23554.7386	43026.287	22592.3618	201627.963	158601.676	0	0	0	0	0	3
15	12	0	0.194418293	24066.3694	41762.2925	22592.3618	201627.963	159865.67	0	0	0	0	0	3
16	13	0	0.207379513	23809.6896	40640.2548	22592.3618	201627.963	160987.708	0	0	0	0	0	3
17	14	0	0.220340732	24214.2084	39674.0168	22592.3618	201627.963	161953.946	0	0	0	0	0	3
18	14	0	0.233301952	24398.0188	38825.3502	22592.3618	201627.963	162802.612	0	0	0	0	0	3
19	15	0	0.246263171	24829.3693	38088.7197	22592.3618	201627.963	163539.243	0	0	0	0	0	3
20	16	0	0.259224391	24873.2328	37427.9453	22592.3618	201627.963	164200.017	0	0	0	0	0	3
21	16	0	0.27218561	25037.4296	36837.9208	22592.3618	201627.963	164790.042	0	0	0	0	0	3
22	17	0	0.28514683	25069.1908	36302.9785	22592.3618	201627.963	165324.984	0	0	0	0	0	3
23	17	0	0.298108049	25081.2678	35815.078	22592.3618	201627.963	165812.885	0	0	0	0	0	3
24	18	0	0.311069269	24913.6386	35360.8514	22592.3618	201627.963	166267.111	0	0	0	0	0	3
25	19	0	0.324030489	24950.5702	34944.4401	22592.3618	201627.963	166683.523	0	0	0	0	0	3
26	19	0	0.336991708	24817.1929	34554.9306	22592.3618	201627.963	167073.032	0	0	0	0	0	3
27	20	0	0.349952928	24624.4991	34187.1369	22592.3618	201627.963	167440.826	0	0	0	0	0	3
28	21	0	0.362914147	24403.9431	33837.7371	22592.3618	201627.963	167790.226	0	0	0	0	0	3
29	21	0	0.375875367	24427.7581	33513.255	22592.3618	201627.963	168114.708	0	0	0	0	0	3
30	22	0	0.388836586	24376.3257	33208.6907	22592.3618	201627.963	168419.272	0	0	0	0	0	3
31	23	0	0.401797806	24289.67	32920.9804	22592.3618	201627.963	168706.982	0	0	0	0	0	3
32	24	0	0.414759025	24343.4957	32652.934	22592.3618	201627.963	168975.029	0	0	0	0	0	3
33	25	0	0.427720245	24374.3348	32402.0674	22592.3618	201627.963	169225.895	0	0	0	0	0	3
34	25	0	0.440681464	24344.874	32165.0911	22592.3618	201627.963	169462.872	0	0	0	0	0	3
35	26	0	0.453642684	24351.6316	31941.8494	22592.3618	201627.963	169686.113	0	0	0	0	0	3
36	27	0	0.466603904	24441.9531	31733.5189	22592.3618	201627.963	169894.444	0	0	0	0	0	3
37	27	0	0.479565123	24503.7708	31538.1203	22592.3618	201627.963	170089.842	0	0	0	0	0	3
38	28	0	0.492526343	24494.3674	31352.7584	22592.3618	201627.963	170275.204	0	0	0	0	0	3
39	28	0	0.505487562	24488.2721	31176.7459	22592.3618	201627.963	170451.217	0	0	0	0	0	3
