Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0129612195	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.0259224391	0	0	0	0	0	0	0	0	0	0	3
3	4	0	0.0388836586	0	0	0	0	0	0	0	0	0	0	3
4	5	0	0.0518448782	0	0	0	0	0	0	0	0	0	0	3
5	5	0	0.0648060977	0	0	0	0	0	0	0	0	0	0	3
6	6	0	0.0777673173	0	0	0	0	0	0	0	0	0	0	3
7	6	0	0.0907285368	0	0	0	0	0	0	0	0	0	0	3
8	7	0	0.103689756	0	0	0	0	0	0	0	0	0	0	3
9	8	0	0.116650976	0	0	0	0	0	0	0	0	0	0	3
10	8	0	0.129612195	0	0	0	0	0	0	0	0	0	0	3
11	9	0	0.142573415	0	0	0	0	0	0	0	0	0	0	3
12	10	0	0.155534635	0	0	0	0	0	0	0	0	0	0	3
13	11	0	0.168495854	0	0	0	0	0	0	0	0	0	0	3
14	11	0	0.181457074	0	0	0	0	0	0	0	0	0	0	3
15	12	0	0.194418293	0	0	0	0	0	0	0	0	0	0	3
16	13	0	0.207379513	0	0	0	0	0	0	0	0	0	0	3
17	14	0	0.220340732	0	0	0	0	0	0	0	0	0	0	3
18	14	0	0.233301952	0	0	0	0	0	0	0	0	0	0	3
19	15	0	0.246263171	0	0	0	0	0	0	0	0	0	0	3
20	16	0	0.259224391	0	0	0	0	0	0	0	0	0	0	3
21	16	0	0.27218561	0	0	0	0	0	0	0	0	0	0	3
22	17	0	0.28514683	0	0	0	0	0	0	0	0	0	0	3
23	17	0	0.298108049	0	0	0	0	0	0	0	0	0	0	3
24	18	0	0.311069269	0	0	0	0	0	0	0	0	0	0	3
25	19	0	0.324030489	0	0	0	0	0	0	0	0	0	0	3
26	19	0	0.336991708	0	0	0	0	0	0	0	0	0	0	3
27	20	0	0.349952928	0	0	0	0	0	0	0	0	0	0	3
28	21	0	0.362914147	0	0	0	0	0	0	0	0	0	0	3
29	21	0	0.375875367	0	0	0	0	0	0	0	0	0	0	3
30	22	0	0.388836586	0	0	0	0	0	0	0	0	0	0	3
31	23	0	0.401797806	0	0	0	0	0	0	0	0	0	0	3
32	24	0	0.414759025	0	0	0	0	0	0	0	0	0	0	3
33	25	0	0.427720245	0	0	0	0	0	0	0	0	0	0	3
34	25	0	0.440681464	0	0	0	0	0	0	0	0	0	0	3
35	26	0	0.453642684	0	0	0	0	0	0	0	0	0	0	3
36	27	0	0.466603904	0	0	0	0	0	0	0	0	0	0	3
37	27	0	0.479565123	0	0	0	0	0	0	0	0	0	0	3
38	28	0	0.492526343	0	0	0	0	0	0	0	0	0	0	3
39	28	0	0.505487562	0	0	0	0	0	0	0	0	0	0	3
40	29	0	0.518448782	0	0	0	0	0	0	0	0	0	0	3
41	30	0	0.531410001	0	0	0	0	0	0	0	0	0	0	3
42	30	0	0.544371221	0	0	0	0	0	0	0	0	0	0	3
43	31	0	0.55733244	0	0	0	0	0	0	0	0	0	0	3
44	32	0	0.57029366	0	0	0	0	0	0	0	0	0	0	3
45	32	0	0.583254879	0	0	0	0	0	0	0	0	0	0	3
46	33	0	0.596216099	0	0	0	0	0	0	0	0	0	0	3
47	34	0	0.609177318	0	0	0	0	0	0	0	0	0	0	3
48	34	0	0.622138538	0	0	0	0	0	0	0	0	0	0	3
49	35	0	0.635099758	0	0	0	0	0	0	0	0	0	0	3
50	36	0	0.648060977	0	0	0	0	0	0	0	0	0	0	3
51	36	0	0.661022197	0	0	0	0	0	0	0	0	0	0	3
52	37	0	0.673983416	0	0	0	0	0	0	0	0	0	0	3
53	38	0	0.686944636	0	0	0	0	0	0	0	0	0	0	3
54	38	0	0.699905855	0	0	0	0	0	0	0	0	0	0	3
55	39	0	0.712867075	0	0	0	0	0	0	0	0	0	0	3
56	40	0	0.725828294	0	0	0	0	0	0	0	0	0	0	3
57	40	0	0.738789514	0	0	0	0	0	0	0	0	0	0	3
58	41	0	0.751750733	0	0	0	0	0	0	0	0	0	0	3
59	41	0	0.764711953	0	0	0	0	0	0	0	0	0	0	3
60	42	0	0.777673173	0	0	0	0	0	0	0	0	0	0	3
61	43	0	0.790634392	0	0	0	0	0	0	0	0	0	0	3
62	43	0	0.803595612	0	0	0	0	0	0	0	0	0	0	3
63	44	0	0.816556831	0	0	0	0	0	0	0	0	0	0	3
64	45	0	0.829518051	0	0	0	0	0	0	0	0	0	0	3
65	45	0	0.84247927	0	0	0	0	0	0	0	0	0	0	3
66	46	0	0.85544049	0	0	0	0	0	0	0	0	0	0	3
67	47	0	0.868401709	0	0	0	0	0	0	0	0	0	0	3
68	47	0	0.881362929	0	0	0	0	0	0	0	0	0	0	3
69	48	0	0.894324148	0	0	0	0	0	0	0	0	0	0	3
70	49	0	0.907285368	0	0	0	0	0	0	0	0	0	0	3
71	49	0	0.920246587	0	0	0	0	0	0	0	0	0	0	3
72	50	0	0.933207807	0	0	0	0	0	0	0	0	0	0	3
73	51	0	0.946169027	0	0	0	0	0	0	0	0	0	0	3
74	51	0	0.959130246	0	0	0	0	0	0	0	0	0	0	3
75	52	0	0.972091466	0	0	0	0	0	0	0	0	0	0	3
76	52	0	0.985052685	0	0	0	0	0	0	0	0	0	0	3
77	53	0	0.998013905	0	0	0	0	0	0	0	0	0	0	3
78	54	0	1.01097512	0	0	0	0	0	5e-06	0	0	0	0	3
