Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0129612195	101367.832	101367.832	101367.832	101367.832	0	0	0	0	0	0	3
2	4	0	0.0259224391	101365.319	101366.576	101365.319	101367.832	1.25634657	0	0	0	0	0	3
3	4	0	0.0388836586	101332.998	101355.383	101332.998	101367.832	12.4487906	0	0	0	0	0	3
4	5	0	0.0518448782	101330.761	101349.228	101330.761	101367.832	18.6045052	0	0	0	0	0	3
5	5	0	0.0648060977	101330.933	101345.569	101330.761	101367.832	22.2633923	0	0	0	0	0	3
6	6	0	0.0777673173	101330.508	101343.059	101330.508	101367.832	24.7734603	0	0	0	0	0	3
7	6	0	0.0907285368	101330.752	101341.301	101330.508	101367.832	26.53158	0	0	0	0	0	3
8	7	0	0.103689756	101330.41	101339.939	101330.41	101367.832	27.8929318	0	0	0	0	0	3
9	8	0	0.116650976	101330.553	101338.896	101330.41	101367.832	28.9358478	0	0	0	0	0	3
10	8	0	0.129612195	101330.286	101338.035	101330.286	101367.832	29.7968607	0	0	0	0	0	3
11	9	0	0.142573415	101330.491	101337.349	101330.286	101367.832	30.482746	0	0	0	0	0	3
12	10	0	0.155534635	101330.403	101336.771	101330.286	101367.832	31.0615774	0	0	0	0	0	3
13	11	0	0.168495854	101330.57	101336.294	101330.286	101367.832	31.5385432	0	0	0	0	0	3
14	11	0	0.181457074	101330.488	101335.879	101330.286	101367.832	31.9532158	0	0	0	0	0	3
15	12	0	0.194418293	101330.519	101335.522	101330.286	101367.832	32.3105521	0	0	0	0	0	3
16	13	0	0.207379513	101330.559	101335.211	101330.286	101367.832	32.6207012	0	0	0	0	0	3
17	14	0	0.220340732	101330.434	101334.93	101330.286	101367.832	32.9017254	0	0	0	0	0	3
18	14	0	0.233301952	101330.41	101334.679	101330.286	101367.832	33.1528444	0	0	0	0	0	3
19	15	0	0.246263171	101330.235	101334.445	101330.235	101367.832	33.3867804	0	0	0	0	0	3
20	16	0	0.259224391	101330.28	101334.237	101330.235	101367.832	33.5950635	0	0	0	0	0	3
21	16	0	0.27218561	101330.253	101334.047	101330.235	101367.832	33.7847759	0	0	0	0	0	3
22	17	0	0.28514683	101330.25	101333.875	101330.235	101367.832	33.9573908	0	0	0	0	0	3
23	17	0	0.298108049	101329.973	101333.705	101329.973	101367.832	34.1270326	0	0	0	0	0	3
24	18	0	0.311069269	101329.724	101333.539	101329.724	101367.832	34.2929082	0	0	0	0	0	3
25	19	0	0.324030489	101329.461	101333.376	101329.461	101367.832	34.4560456	0	0	0	0	0	3
26	19	0	0.336991708	101329.355	101333.221	101329.355	101367.832	34.6107154	0	0	0	0	0	3
27	20	0	0.349952928	101328.968	101333.064	101328.968	101367.832	34.7682448	0	0	0	0	0	3
28	21	0	0.362914147	101328.519	101332.902	101328.519	101367.832	34.9305566	0	0	0	0	0	3
29	21	0	0.375875367	101327.968	101332.731	101327.968	101367.832	35.1006951	0	0	0	0	0	3
30	22	0	0.388836586	101327.632	101332.562	101327.632	101367.832	35.2706695	0	0	0	0	0	3
31	23	0	0.401797806	101327.513	101332.399	101327.513	101367.832	35.433535	0	0	0	0	0	3
32	24	0	0.414759025	101327.065	101332.232	101327.065	101367.832	35.600196	0	0	0	0	0	3
33	25	0	0.427720245	101326.79	101332.067	101326.79	101367.832	35.7650903	0	0	0	0	0	3
34	25	0	0.440681464	101326.548	101331.905	101326.548	101367.832	35.9274067	0	0	0	0	0	3
35	26	0	0.453642684	101326.326	101331.745	101326.326	101367.832	36.0868101	0	0	0	0	0	3
36	27	0	0.466603904	101326.476	101331.599	101326.326	101367.832	36.233185	0	0	0	0	0	3
37	27	0	0.479565123	101326.239	101331.454	101326.239	101367.832	36.3780404	0	0	0	0	0	3
38	28	0	0.492526343	101325.96	101331.31	101325.96	101367.832	36.522616	0	0	0	0	0	3
39	28	0	0.505487562	101325.724	101331.166	101325.724	101367.832	36.6658237	0	0	0	0	0	3
40	29	0	0.518448782	101325.126	101330.071	101325.126	101365.319	36.5045108	0	0	0	0	0	3
41	30	0	0.531410001	101325.201	101329.043	101325.126	101332.998	7.87263405	0	0	0	0	0	3
42	30	0	0.544371221	101325.286	101328.845	101325.126	101330.933	5.80737161	0	0	0	0	0	3
43	31	0	0.55733244	101325.348	101328.706	101325.126	101330.933	5.80737161	0	0	0	0	0	3
44	32	0	0.57029366	101325.519	101328.567	101325.126	101330.752	5.62601478	0	0	0	0	0	3
45	32	0	0.583254879	101325.635	101328.442	101325.126	101330.752	5.62601478	0	0	0	0	0	3
46	33	0	0.596216099	101325.768	101328.314	101325.126	101330.57	5.44417986	0	0	0	0	0	3
47	34	0	0.609177318	101325.848	101328.198	101325.126	101330.57	5.44417986	0	0	0	0	0	3
48	34	0	0.622138538	101326.085	101328.083	101325.126	101330.57	5.44417986	0	0	0	0	0	3
49	35	0	0.635099758	101326.446	101327.985	101325.126	101330.57	5.44417986	0	0	0	0	0	3
50	36	0	0.648060977	101327.007	101327.895	101325.126	101330.57	5.44417986	0	0	0	0	0	3
51	36	0	0.661022197	101327.356	101327.817	101325.126	101330.57	5.44417986	0	0	0	0	0	3
52	37	0	0.673983416	101327.515	101327.739	101325.126	101330.559	5.43337479	0	0	0	0	0	3
53	38	0	0.686944636	101327.469	101327.661	101325.126	101330.559	5.43337479	0	0	0	0	0	3
54	38	0	0.699905855	101327.364	101327.58	101325.126	101330.559	5.43337479	0	0	0	0	0	3
55	39	0	0.712867075	101327.184	101327.494	101325.126	101330.434	5.30820014	0	0	0	0	0	3
56	40	0	0.725828294	101326.947	101327.404	101325.126	101330.41	5.28444499	0	0	0	0	0	3
57	40	0	0.738789514	101326.754	101327.311	101325.126	101330.28	5.1538707	0	0	0	0	0	3
58	41	0	0.751750733	101326.634	101327.218	101325.126	101330.28	5.1538707	0	0	0	0	0	3
59	41	0	0.764711953	101326.662	101327.126	101325.126	101330.253	5.12728913	0	0	0	0	0	3
60	42	0	0.777673173	101326.777	101327.037	101325.126	101330.25	5.12400915	0	0	0	0	0	3
61	43	0	0.790634392	101327.004	101326.953	101325.126	101329.973	4.84716086	0	0	0	0	0	3
62	43	0	0.803595612	101327.252	101326.884	101325.126	101329.724	4.59826477	0	0	0	0	0	3
63	44	0	0.816556831	101327.535	101326.827	101325.126	101329.461	4.33496878	0	0	0	0	0	3
64	45	0	0.829518051	101327.761	101326.784	101325.126	101329.355	4.22885249	0	0	0	0	0	3
65	45	0	0.84247927	101327.929	101326.747	101325.126	101328.968	3.84230357	0	0	0	0	0	3
66	46	0	0.85544049	101328.082	101326.725	101325.126	101328.519	3.39333825	0	0	0	0	0	3
67	47	0	0.868401709	101328.236	101326.717	101325.126	101328.236	3.10966681	0	0	0	0	0	3
68	47	0	0.881362929	101328.365	101326.727	101325.126	101328.365	3.2391901	0	0	0	0	0	3
69	48	0	0.894324148	101328.478	101326.749	101325.126	101328.478	3.35210413	0	0	0	0	0	3
70	49	0	0.907285368	101328.601	101326.777	101325.126	101328.601	3.47511979	0	0	0	0	0	3
71	49	0	0.920246587	101328.702	101326.819	101325.126	101328.702	3.57584103	0	0	0	0	0	3
72	50	0	0.933207807	101328.795	101326.87	101325.126	101328.795	3.66883518	0	0	0	0	0	3
73	51	0	0.946169027	101328.881	101326.93	101325.126	101328.881	3.75483623	0	0	0	0	0	3
74	51	0	0.959130246	101328.95	101326.997	101325.126	101328.95	3.8236663	0	0	0	0	0	3
75	52	0	0.972091466	101328.989	101327.062	101325.126	101328.989	3.86340254	0	0	0	0	0	3
76	52	0	0.985052685	101329.015	101327.133	101325.126	101329.015	3.88925331	0	0	0	0	0	3
77	53	0	0.998013905	101329.012	101327.211	101325.126	101329.015	3.88925331	0	0	0	0	0	3
78	54	0	1.01097512	101329.003	101327.295	101325.126	101329.015	3.35406556	0.236179022	0	0	0	0	3
