Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0129612195	293.209973	293.209973	293.209973	293.209973	0	0	0	0	0	0	3
2	4	0	0.0259224391	293.211329	293.210651	293.209973	293.211329	0.000678068261	0	0	0	0	0	3
3	4	0	0.0388836586	293.211398	293.2109	293.209973	293.211398	0.000927165108	0	0	0	0	0	3
4	5	0	0.0518448782	293.21179	293.211122	293.209973	293.21179	0.00114958694	0	0	0	0	0	3
5	5	0	0.0648060977	293.212312	293.21136	293.209973	293.212312	0.00138749742	0	0	0	0	0	3
6	6	0	0.0777673173	293.213187	293.211665	293.209973	293.213187	0.00169199072	0	0	0	0	0	3
7	6	0	0.0907285368	293.214165	293.212022	293.209973	293.214165	0.00204913119	0	0	0	0	0	3
8	7	0	0.103689756	293.215165	293.212415	293.209973	293.215165	0.00244197305	0	0	0	0	0	3
9	8	0	0.116650976	293.21612	293.212826	293.209973	293.21612	0.00285361817	0	0	0	0	0	3
10	8	0	0.129612195	293.217067	293.21325	293.209973	293.217067	0.00327770721	0	0	0	0	0	3
11	9	0	0.142573415	293.218487	293.213727	293.209973	293.218487	0.00375378822	0	0	0	0	0	3
12	10	0	0.155534635	293.219879	293.214239	293.209973	293.219879	0.00426647969	0	0	0	0	0	3
13	11	0	0.168495854	293.221274	293.21478	293.209973	293.221274	0.00480757904	0	0	0	0	0	3
14	11	0	0.181457074	293.222647	293.215342	293.209973	293.222647	0.0053695147	0	0	0	0	0	3
15	12	0	0.194418293	293.224036	293.215922	293.209973	293.224036	0.00594911153	0	0	0	0	0	3
16	13	0	0.207379513	293.226166	293.216562	293.209973	293.226166	0.00658937909	0	0	0	0	0	3
17	14	0	0.220340732	293.228325	293.217254	293.209973	293.228325	0.0072813194	0	0	0	0	0	3
18	14	0	0.233301952	293.230504	293.21799	293.209973	293.230504	0.00801744261	0	0	0	0	0	3
19	15	0	0.246263171	293.232748	293.218767	293.209973	293.232748	0.0087941512	0	0	0	0	0	3
20	16	0	0.259224391	293.235031	293.21958	293.209973	293.235031	0.00960734299	0	0	0	0	0	3
21	16	0	0.27218561	293.238582	293.220485	293.209973	293.238582	0.010512181	0	0	0	0	0	3
22	17	0	0.28514683	293.242185	293.221471	293.209973	293.242185	0.0114985545	0	0	0	0	0	3
23	17	0	0.298108049	293.245831	293.22253	293.209973	293.245831	0.0125576618	0	0	0	0	0	3
24	18	0	0.311069269	293.249495	293.223654	293.209973	293.249495	0.0136811718	0	0	0	0	0	3
25	19	0	0.324030489	293.25321	293.224836	293.209973	293.25321	0.014863419	0	0	0	0	0	3
26	19	0	0.336991708	293.25903	293.226151	293.209973	293.25903	0.0161785741	0	0	0	0	0	3
27	20	0	0.349952928	293.264972	293.227589	293.209973	293.264972	0.017616391	0	0	0	0	0	3
28	21	0	0.362914147	293.271007	293.22914	293.209973	293.271007	0.0191670207	0	0	0	0	0	3
29	21	0	0.375875367	293.277128	293.230795	293.209973	293.277128	0.0208217708	0	0	0	0	0	3
30	22	0	0.388836586	293.28326	293.232543	293.209973	293.28326	0.0225706291	0	0	0	0	0	3
31	23	0	0.401797806	293.292638	293.234482	293.209973	293.292638	0.0245091642	0	0	0	0	0	3
32	24	0	0.414759025	293.301856	293.236587	293.209973	293.301856	0.0266145999	0	0	0	0	0	3
33	25	0	0.427720245	293.310932	293.23884	293.209973	293.310932	0.0288674776	0	0	0	0	0	3
34	25	0	0.440681464	293.319821	293.241222	293.209973	293.319821	0.0312492775	0	0	0	0	0	3
35	26	0	0.453642684	293.328547	293.243717	293.209973	293.328547	0.0337442774	0	0	0	0	0	3
36	27	0	0.466603904	293.34098	293.246419	293.209973	293.34098	0.0364460191	0	0	0	0	0	3
37	27	0	0.479565123	293.352783	293.249293	293.209973	293.352783	0.039320715	0	0	0	0	0	3
38	28	0	0.492526343	293.363811	293.252307	293.209973	293.363811	0.0423343356	0	0	0	0	0	3
39	28	0	0.505487562	293.373779	293.255422	293.209973	293.373779	0.0454490095	0	0	0	0	0	3
40	29	0	0.518448782	293.382263	293.259839	293.211329	293.382263	0.0491886517	0	0	0	0	0	3
41	30	0	0.531410001	293.391043	293.264448	293.211398	293.391043	0.0535476216	0	0	0	0	0	3
